,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
,"Valuation  ( millons ,except EPS )",,,,,,,,,,,,
,Market cap,,,,,,,5456,5456,5456,5456,5456,5456
,Net DEBT  (-) si es caja neta ,1326,2101,2665,2274,2666,2626,2645,2000,1500,1000,500,0
,Deuda neta /EBITDA,"1,84","2,76","2,80","2,42","1,80","1,50","1,49","1,13","0,79","0,49","0,23","0,00"
,Deuda neta/equity,"0,69","0,94","1,04","0,94","0,84","0,72","0,71","0,50","0,35","0,22","0,10","0,00"
,Enterprise Value ( EV ),,,,,,,8101,7456,6956,6456,5956,5456
,EBITDA,720,762,952,940,1478,1750,1775,1769,1893,2025,2167,2319
,EBIT,556,603,764,735,1071,1262,1290,1250,1338,1431,1531,1639
,Net income,515,431,543,502,763,909,908,816,874,935,1000,1070
,FCF,529,393,479,449,938,1099,1133,1057,1131,1210,1295,1386
